,Name,Url,Stargazer_Count,Total Releases,Age
0,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,118925,0,3
1,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,73796,0,7
2,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,69355,0,3
3,doocs/advanced-java,https://github.com/doocs/advanced-java,61791,1,3
4,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,60158,125,9
5,elastic/elasticsearch,https://github.com/elastic/elasticsearch,58911,78,12
6,macrozheng/mall,https://github.com/macrozheng/mall,56720,1,3
7,kdn251/interviews,https://github.com/kdn251/interviews,56541,0,5
8,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,46581,224,11
9,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,45859,227,9
10,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,45182,0,2
11,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,45089,0,5
12,google/guava,https://github.com/google/guava,43958,35,7
13,square/retrofit,https://github.com/square/retrofit,39707,0,11
14,apache/dubbo,https://github.com/apache/dubbo,36967,46,9
15,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,34799,44,7
16,airbnb/lottie-android,https://github.com/airbnb/lottie-android,32553,41,5
17,bumptech/glide,https://github.com/bumptech/glide,32357,38,8
18,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,31793,19,3
19,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,30549,116,5
20,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,30102,0,1
21,eugenp/tutorials,https://github.com/eugenp/tutorials,29856,0,8
22,skylot/jadx,https://github.com/skylot/jadx,29433,18,9
23,zxing/zxing,https://github.com/zxing/zxing,29300,27,10
24,netty/netty,https://github.com/netty/netty,28762,0,11
25,alibaba/arthas,https://github.com/alibaba/arthas,28665,39,3
26,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,28273,18,3
27,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,27236,0,5
28,crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,26624,0,4
29,apolloconfig/apollo,https://github.com/apolloconfig/apollo,26460,34,6
30,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25710,0,9
31,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25251,49,4
32,alibaba/druid,https://github.com/alibaba/druid,25244,43,10
33,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,25183,147,6
34,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,25026,0,4
35,alibaba/fastjson,https://github.com/alibaba/fastjson,24203,83,10
36,qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,24145,0,3
37,greenrobot/EventBus,https://github.com/greenrobot/EventBus,23869,7,9
38,lenve/vhr,https://github.com/lenve/vhr,23571,0,4
39,scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,23365,10,4
40,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,23027,73,9
41,wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,22936,0,3
42,alibaba/easyexcel,https://github.com/alibaba/easyexcel,22875,1,4
43,CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22684,192,5
44,hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,22479,0,3
45,Netflix/Hystrix,https://github.com/Netflix/Hystrix,22477,79,9
46,alibaba/canal,https://github.com/alibaba/canal,22386,22,9
47,dromara/hutool,https://github.com/dromara/hutool,22183,110,7
